Code,Occupation_Name,Nom_de_la_profession,Employment_emploi_2023,Employment_Growth_croissance_emploi,Retirements_retraites,Other_Replacement_autre_remplacement,Total_Job_Openings_Perspective_d'emploi,School_Leavers_Sortants_scolaires,Immigration,Other_Seekers_autres_chercheurs,Job_Seekers_Chercheurs_emploi,Recent_Labour_Market_Conditions,Conditions_récentes_sur_le_marché_du_travail,Future_Labour_Market_Conditions,Conditions_futures_sur_le_marché_du_travail
72013,"Contractors and supervisors, carpentry trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en charpenterie,31500,4600,6400,1900,12800,7200,1700,1800,10700,Balance,À équilibre,Balance,À équilibre
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des autres métiers de la construction et des services de réparation et d'installation,63000,2300,14200,4000,20500,6900,5700,4900,17500,Balance,À équilibre,Balance,À équilibre
72020,"Contractors and supervisors, mechanic trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en mécanique,73800,8700,20200,4800,33700,8400,2300,23500,34200,Balance,À équilibre,Balance,À équilibre
72021,"Contractors and supervisors, heavy equipment operator crews",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd,64000,9000,13100,4000,26100,9200,2000,12700,23900,Balance,À équilibre,Balance,À équilibre
72022,"Supervisors, printing and related occupations",Surveillants/surveillantes de l'imprimerie et du personnel assimilé,5100,0,2700,500,3200,400,500,1800,2600,Balance,À équilibre,Balance,À équilibre
72023,"Supervisors, railway transport operations",Surveillants/surveillantes des opérations du transport ferroviaire,1300,100,200,100,400,400,100,-100,400,Balance,À équilibre,Balance,À équilibre
72024,"Supervisors, motor transport and other ground transit operators",Surveillants/surveillantes du transport routier et du transport en commun,35500,5400,11500,2500,19300,5000,3200,11200,19400,Balance,À équilibre,Balance,À équilibre
72025,"Supervisors, mail and message distribution occupations",Superviseurs/superviseures de services postaux et de messageries,11200,800,3700,800,5300,1300,700,3300,5300,Balance,À équilibre,Balance,À équilibre
72100,Machinists and machining and tooling inspectors,Machinistes et vérificateurs/vérificatrices d'usinage et d'outillage,43400,1000,12300,2900,16200,8100,3600,4000,15700,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72101,Tool and die makers,Outilleurs-ajusteurs/outilleuses-ajusteuses,11700,200,3700,900,4900,2300,600,1700,4600,Balance,À équilibre,Balance,À équilibre
72102,Sheet metal workers,Tôliers/tôlières,13900,1100,2800,800,4700,3800,600,400,4800,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72103,Boilermakers,Chaudronniers/chaudronnières,2800,300,600,200,1100,800,200,200,1100,Balance,À équilibre,Balance,À équilibre
72104,Structural metal and platework fabricators and fitters,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques,4300,-100,900,300,1100,1600,400,-700,1300,Moderate signs of Shortage,Signes modérés de pénurie,Balance,À équilibre
72105,Ironworkers,Monteurs/monteuses de charpentes métalliques,14700,2000,2000,800,4800,5800,1900,-1300,6400,Balance,À équilibre,Balance,À équilibre
72106,Welders and related machine operators,Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser,90900,5600,14900,5000,25600,30000,8000,-13000,25000,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72200,Electricians (except industrial and power system),Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques),119300,35600,14100,6600,56300,61800,5200,-11100,55800,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72201,Industrial electricians,Électriciens industriels/électriciennes industrielles,35600,3000,9000,2300,14300,9300,1700,3800,14900,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72202,Power system electricians,Électriciens/électriciennes de réseaux électriques,4600,800,400,200,1400,1500,100,-100,1500,Balance,À équilibre,Balance,À équilibre
72203,Electrical power line and cable workers,Monteurs/monteuses de lignes électriques et de câbles,12900,1100,1500,600,3200,5000,300,-2000,3200,Balance,À équilibre,Balance,À équilibre
72204,Telecommunications line and cable installers and repairers,Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications,10100,500,1900,600,3000,2900,1300,-1500,2700,Balance,À équilibre,Balance,À équilibre
72205,Telecommunications equipment installation and cable television service technicians,Techniciens/techniciennes en installation de matériel de télécommunication et en services de câblodistribution,25900,3800,5100,1600,10500,7800,3400,-400,10800,Balance,À équilibre,Balance,À équilibre
72300,Plumbers,Plombiers/plombières,59900,12700,6800,3300,22800,28500,3100,-7600,24000,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
72301,"Steamfitters, pipefitters and sprinkler system installers","Tuyauteurs/tuyauteuses, monteurs/monteuses d'appareils de chauffage et poseurs/poseuses de gicleurs",25800,2300,2600,1500,6300,7700,1200,-1800,7100,Balance,À équilibre,Balance,À équilibre
72302,Gas fitters,Monteurs/monteuses d'installations au gaz,5500,300,800,300,1400,2100,200,-900,1400,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
