title,category,slug,noc_code,median_pay_annual,median_pay_hourly,entry_education,num_jobs_2023,projected_job_openings_2033,outlook_pct,outlook_desc,future_lmc,recent_lmc,url
Technical writers,"Art, culture, recreation and sport",technical-writers,51112,71388,35.69,Short-term work demonstration,8000,2300,2,Balance,Balance,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/23149/ca
Journalists,"Art, culture, recreation and sport",journalists,51113,71388,35.69,Short-term work demonstration,10900,3500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16153/ca
"Translators, terminologists and interpreters","Art, culture, recreation and sport",translators-terminologists-and-interpreters,51114,71388,35.69,Short-term work demonstration,24500,10300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Translators%2C%20terminologists%20and%20interpreters
"Producers, directors, choreographers and related occupations","Art, culture, recreation and sport",producers-directors-choreographers-and-related-occupations,51120,71388,35.69,Short-term work demonstration,37600,15300,-4,Moderate Surplus,Moderate risk of Surplus,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/7909/ca
"Conductors, composers and arrangers","Art, culture, recreation and sport",conductors-composers-and-arrangers,51121,71388,35.69,Short-term work demonstration,3500,2200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Conductors%2C%20composers%20and%20arrangers
Musicians and singers,"Art, culture, recreation and sport",musicians-and-singers,51122,71388,35.69,Short-term work demonstration,29700,17100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24666/ca
Library and public archive technicians,"Art, culture, recreation and sport",library-and-public-archive-technicians,52100,60750,30.38,Short-term work demonstration,7200,3000,-4,Moderate Surplus,Moderate risk of Surplus,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/8068/ca
Film and video camera operators,"Art, culture, recreation and sport",film-and-video-camera-operators,52110,60750,30.38,Short-term work demonstration,7600,2500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5542/ca
Graphic arts technicians,"Art, culture, recreation and sport",graphic-arts-technicians,52111,60750,30.38,Short-term work demonstration,14800,4700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/21023/ca
Broadcast technicians,"Art, culture, recreation and sport",broadcast-technicians,52112,60750,30.38,Short-term work demonstration,1500,500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Broadcast%20technicians
Audio and video recording technicians,"Art, culture, recreation and sport",audio-and-video-recording-technicians,52113,60750,30.38,Short-term work demonstration,13100,3000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5579/ca
Announcers and other broadcasters,"Art, culture, recreation and sport",announcers-and-other-broadcasters,52114,60750,30.38,Short-term work demonstration,3700,1400,-4,Moderate Surplus,Moderate risk of Surplus,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16304/ca
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","Art, culture, recreation and sport",other-technical-and-coordinating-occupations-in-motion-pictures-broadcasting-and-the-performing-arts,52119,60750,30.38,Short-term work demonstration,14700,3700,-4,Moderate Surplus,Moderate risk of Surplus,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/21056/ca
Graphic designers and illustrators,"Art, culture, recreation and sport",graphic-designers-and-illustrators,52120,60750,30.38,Short-term work demonstration,93200,28500,-8,Strong Surplus,Strong risk of Surplus,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/27231/ca
Interior designers and interior decorators,"Art, culture, recreation and sport",interior-designers-and-interior-decorators,52121,60750,30.38,Short-term work demonstration,32900,11800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5759/ca
"Registrars, restorers, interpreters and other occupations related to museum and art galleries","Art, culture, recreation and sport",registrars-restorers-interpreters-and-other-occupations-related-to-museum-and-art-galleries,53100,43200,21.6,Short-term work demonstration,9400,3300,-4,Moderate Surplus,Moderate risk of Surplus,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16235/ca
Photographers,"Art, culture, recreation and sport",photographers,53110,43200,21.6,Short-term work demonstration,22400,6000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5514/ca
"Motion pictures, broadcasting, photography and performing arts assistants and operators","Art, culture, recreation and sport",motion-pictures-broadcasting-photography-and-performing-arts-assistants-and-operators,53111,43200,21.6,Short-term work demonstration,7700,2100,-8,Strong Surplus,Strong risk of Surplus,Strong signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/5607/ca
Dancers,"Art, culture, recreation and sport",dancers,53120,43200,21.6,Short-term work demonstration,13600,4300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Dancers
"Actors, comedians and circus performers","Art, culture, recreation and sport",actors-comedians-and-circus-performers,53121,43200,21.6,Short-term work demonstration,14900,6900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16192/ca
"Painters, sculptors and other visual artists","Art, culture, recreation and sport",painters-sculptors-and-other-visual-artists,53122,43200,21.6,Short-term work demonstration,17100,10300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/8027/ca
"Theatre, fashion, exhibit and other creative designers","Art, culture, recreation and sport",theatre-fashion-exhibit-and-other-creative-designers,53123,43200,21.6,Short-term work demonstration,9600,3900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5794/ca
Artisans and craftspersons,"Art, culture, recreation and sport",artisans-and-craftspersons,53124,43200,21.6,Short-term work demonstration,8900,4500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5844/ca
"Patternmakers - textile, leather and fur products","Art, culture, recreation and sport",patternmakers-textile-leather-and-fur-products,53125,43200,21.6,Short-term work demonstration,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/marketreport/summary-occupation/5934/ca
Athletes,"Art, culture, recreation and sport",athletes,53200,43200,21.6,Short-term work demonstration,2700,600,-8,Strong Surplus,Strong risk of Surplus,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/21115/ca
Coaches,"Art, culture, recreation and sport",coaches,53201,43200,21.6,Short-term work demonstration,13300,4300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Coaches
Sports officials and referees,"Art, culture, recreation and sport",sports-officials-and-referees,53202,43200,21.6,Short-term work demonstration,6200,1300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Sports%20officials%20and%20referees
"Program leaders and instructors in recreation, sport and fitness","Art, culture, recreation and sport",program-leaders-and-instructors-in-recreation-sport-and-fitness,54100,39150,19.57,Short-term work demonstration,149300,45300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/21163/ca
Other performers,"Art, culture, recreation and sport",other-performers,55109,39150,19.57,Short-term work demonstration,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Other%20performers
Corporate sales managers,Sales and service,corporate-sales-managers,60010,48600,24.3,Management experience,28300,9200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/26656/ca
Retail and wholesale trade managers,Sales and service,retail-and-wholesale-trade-managers,60020,48600,24.3,Management experience,355000,156600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17604/ca
Restaurant and food service managers,Sales and service,restaurant-and-food-service-managers,60030,48600,24.3,Management experience,110200,33000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24490/ca
Accommodation service managers,Sales and service,accommodation-service-managers,60031,48600,24.3,Management experience,51100,34100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12398/ca
Managers in customer and personal services,Sales and service,managers-in-customer-and-personal-services,60040,48600,24.3,Management experience,13400,6200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/27039/ca
Retail sales supervisors,Sales and service,retail-sales-supervisors,62010,35100,17.55,College diploma or apprenticeship (2+ years),239100,64200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16401/ca
Food service supervisors,Sales and service,food-service-supervisors,62020,35100,17.55,College diploma or apprenticeship (2+ years),75800,20200,2,Balance,Balance,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/27236/ca
Executive housekeepers,Sales and service,executive-housekeepers,62021,35100,17.55,College diploma or apprenticeship (2+ years),1900,800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6014/ca
"Accommodation, travel, tourism and related services supervisors",Sales and service,accommodation-travel-tourism-and-related-services-supervisors,62022,35100,17.55,College diploma or apprenticeship (2+ years),16900,6200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/26932/ca
Customer and information services supervisors,Sales and service,customer-and-information-services-supervisors,62023,35100,17.55,College diploma or apprenticeship (2+ years),29000,11100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/26792/ca
Cleaning supervisors,Sales and service,cleaning-supervisors,62024,35100,17.55,College diploma or apprenticeship (2+ years),39700,24900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16415/ca
Other services supervisors,Sales and service,other-services-supervisors,62029,35100,17.55,College diploma or apprenticeship (2+ years),27000,10700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/296168/ca
Technical sales specialists - wholesale trade,Sales and service,technical-sales-specialists-wholesale-trade,62100,35100,17.55,College diploma or apprenticeship (2+ years),133000,55300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22343/ca
Retail and wholesale buyers,Sales and service,retail-and-wholesale-buyers,62101,35100,17.55,College diploma or apprenticeship (2+ years),22900,8800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6190/ca
Chefs,Sales and service,chefs,62200,35100,17.55,College diploma or apprenticeship (2+ years),64500,23000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16420/ca
Funeral directors and embalmers,Sales and service,funeral-directors-and-embalmers,62201,35100,17.55,College diploma or apprenticeship (2+ years),8900,4300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6292/ca
"Jewellers, jewellery and watch repairers and related occupations",Sales and service,jewellers-jewellery-and-watch-repairers-and-related-occupations,62202,35100,17.55,College diploma or apprenticeship (2+ years),1900,1000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Jewellers%2C%20jewellery%20and%20watch%20repairers%20and%20related%20occupations
Insurance agents and brokers,Sales and service,insurance-agents-and-brokers,63100,37800,18.9,College diploma or apprenticeship (<2 years),86800,33900,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/6163/ca
Real estate agents and salespersons,Sales and service,real-estate-agents-and-salespersons,63101,37800,18.9,College diploma or apprenticeship (<2 years),106800,55400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Real%20estate%20agents%20and%20salespersons
Financial sales representatives,Sales and service,financial-sales-representatives,63102,37800,18.9,College diploma or apprenticeship (<2 years),61300,22300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/27001/ca
Cooks,Sales and service,cooks,63200,37800,18.9,College diploma or apprenticeship (<2 years),171700,41100,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/6225/ca
Butchers - retail and wholesale,Sales and service,butchers-retail-and-wholesale,63201,37800,18.9,College diploma or apprenticeship (<2 years),14400,4700,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/6263/ca
Bakers,Sales and service,bakers,63202,37800,18.9,College diploma or apprenticeship (<2 years),32500,9200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22246/ca
Hairstylists and barbers,Sales and service,hairstylists-and-barbers,63210,37800,18.9,College diploma or apprenticeship (<2 years),90500,36100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16446/ca
"Estheticians, electrologists and related occupations",Sales and service,estheticians-electrologists-and-related-occupations,63211,37800,18.9,College diploma or apprenticeship (<2 years),71300,24300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14041/ca
Shoe repairers and shoemakers,Sales and service,shoe-repairers-and-shoemakers,63220,37800,18.9,College diploma or apprenticeship (<2 years),,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/marketreport/summary-occupation/7805/ca
Upholsterers,Sales and service,upholsterers,63221,37800,18.9,College diploma or apprenticeship (<2 years),4000,2500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Upholsterers
Retail salespersons and visual merchandisers,Sales and service,retail-salespersons-and-visual-merchandisers,64100,39150,19.57,Secondary school diploma,579600,140900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/21352/ca
Sales and account representatives - wholesale trade (non-technical),Sales and service,sales-and-account-representatives-wholesale-trade-non-technical,64101,39150,19.57,Secondary school diploma,240900,96900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22340/ca
"Tailors, dressmakers, furriers and milliners",Sales and service,tailors-dressmakers-furriers-and-milliners,64200,39150,19.57,Secondary school diploma,12600,7000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/21596/ca
"Image, social and other personal consultants",Sales and service,image-social-and-other-personal-consultants,64201,39150,19.57,Secondary school diploma,1600,800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14023/ca
Maîtres d'hôtel and hosts/hostesses,Sales and service,ma-tres-d-h-tel-and-hosts-hostesses,64300,39150,19.57,Secondary school diploma,54500,9200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6634/ca
Bartenders,Sales and service,bartenders,64301,39150,19.57,Secondary school diploma,29400,3800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16455/ca
Travel counsellors,Sales and service,travel-counsellors,64310,39150,19.57,Secondary school diploma,14600,5700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6298/ca
Pursers and flight attendants,Sales and service,pursers-and-flight-attendants,64311,39150,19.57,Secondary school diploma,14600,4300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Pursers%20and%20flight%20attendants
Airline ticket and service agents,Sales and service,airline-ticket-and-service-agents,64312,39150,19.57,Secondary school diploma,15900,4800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6304/ca
"Ground and water transport ticket agents, cargo service representatives and related clerks",Sales and service,ground-and-water-transport-ticket-agents-cargo-service-representatives-and-related-clerks,64313,39150,19.57,Secondary school diploma,3600,1200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6339/ca
Hotel front desk clerks,Sales and service,hotel-front-desk-clerks,64314,39150,19.57,Secondary school diploma,19100,8200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6547/ca
Tour and travel guides,Sales and service,tour-and-travel-guides,64320,39150,19.57,Secondary school diploma,3800,1300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6558/ca
Casino workers,Sales and service,casino-workers,64321,39150,19.57,Secondary school diploma,7600,1700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6620/ca
Outdoor sport and recreational guides,Sales and service,outdoor-sport-and-recreational-guides,64322,39150,19.57,Secondary school diploma,1700,900,2,Balance,Balance,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/6600/ca
Customer services representatives - financial institutions,Sales and service,customer-services-representatives-financial-institutions,64400,39150,19.57,Secondary school diploma,71500,24000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14136/ca
Postal services representatives,Sales and service,postal-services-representatives,64401,39150,19.57,Secondary school diploma,10300,6200,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/2394/ca
Other customer and information services representatives,Sales and service,other-customer-and-information-services-representatives,64409,39150,19.57,Secondary school diploma,181700,66100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14218/ca
Security guards and related security service occupations,Sales and service,security-guards-and-related-security-service-occupations,64410,39150,19.57,Secondary school diploma,104200,41600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14292/ca
Cashiers,Sales and service,cashiers,65100,30375,15.19,Short-term work demonstration,349600,73400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24143/ca
Service station attendants,Sales and service,service-station-attendants,65101,30375,15.19,Short-term work demonstration,12000,-1000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17197/ca
"Store shelf stockers, clerks and order fillers",Sales and service,store-shelf-stockers-clerks-and-order-fillers,65102,30375,15.19,Short-term work demonstration,262900,78000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14267/ca
Other sales related occupations,Sales and service,other-sales-related-occupations,65109,30375,15.19,Short-term work demonstration,16200,7600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2889/ca
Food and beverage servers,Sales and service,food-and-beverage-servers,65200,30375,15.19,Short-term work demonstration,175800,24000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6641/ca
"Food counter attendants, kitchen helpers and related support occupations",Sales and service,food-counter-attendants-kitchen-helpers-and-related-support-occupations,65201,30375,15.19,Short-term work demonstration,383000,88400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24592/ca
Meat cutters and fishmongers  retail and wholesale,Sales and service,meat-cutters-and-fishmongers-retail-and-wholesale,65202,30375,15.19,Short-term work demonstration,5100,1000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24581/ca
"Support occupations in accommodation, travel and facilities set-up services",Sales and service,support-occupations-in-accommodation-travel-and-facilities-set-up-services,65210,30375,15.19,Short-term work demonstration,3600,600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/25580/ca
"Operators and attendants in amusement, recreation and sport",Sales and service,operators-and-attendants-in-amusement-recreation-and-sport,65211,30375,15.19,Short-term work demonstration,65200,21600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/747/ca
Pet groomers and animal care workers,Sales and service,pet-groomers-and-animal-care-workers,65220,30375,15.19,Short-term work demonstration,35500,13500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14247/ca
Other support occupations in personal services,Sales and service,other-support-occupations-in-personal-services,65229,30375,15.19,Short-term work demonstration,3800,1500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Other%20support%20occupations%20in%20personal%20services
Light duty cleaners,Sales and service,light-duty-cleaners,65310,30375,15.19,Short-term work demonstration,228000,122900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/20662/ca
Specialized cleaners,Sales and service,specialized-cleaners,65311,30375,15.19,Short-term work demonstration,41900,12600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14347/ca
"Janitors, caretakers and heavy-duty cleaners",Sales and service,janitors-caretakers-and-heavy-duty-cleaners,65312,30375,15.19,Short-term work demonstration,107000,51200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14394/ca
"Dry cleaning, laundry and related occupations",Sales and service,dry-cleaning-laundry-and-related-occupations,65320,30375,15.19,Short-term work demonstration,13900,7000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17286/ca
Other service support occupations,Sales and service,other-service-support-occupations,65329,30375,15.19,Short-term work demonstration,24500,8200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14499/ca
Construction managers,"Trades, transport and equipment operators",construction-managers,70010,72900,36.45,Management experience,108900,44600,6,Moderate Shortage,Moderate risk of Shortage,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24325/ca
Home building and renovation managers,"Trades, transport and equipment operators",home-building-and-renovation-managers,70011,72900,36.45,Management experience,146000,72400,6,Moderate Shortage,Moderate risk of Shortage,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2147/ca
Facility operation and maintenance managers,"Trades, transport and equipment operators",facility-operation-and-maintenance-managers,70012,72900,36.45,Management experience,35300,16500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24350/ca
Managers in transportation,"Trades, transport and equipment operators",managers-in-transportation,70020,72900,36.45,Management experience,37700,15800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2158/ca
Postal and courier services managers,"Trades, transport and equipment operators",postal-and-courier-services-managers,70021,72900,36.45,Management experience,3300,1400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14616/ca
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Trades, transport and equipment operators",contractors-and-supervisors-machining-metal-forming-shaping-and-erecting-trades-and-related-occupations,72010,54000,27.0,College diploma or apprenticeship (2+ years),20200,7500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/26619/ca
"Contractors and supervisors, electrical trades and telecommunications occupations","Trades, transport and equipment operators",contractors-and-supervisors-electrical-trades-and-telecommunications-occupations,72011,54000,27.0,College diploma or apprenticeship (2+ years),32400,11500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24169/ca
"Contractors and supervisors, pipefitting trades","Trades, transport and equipment operators",contractors-and-supervisors-pipefitting-trades,72012,54000,27.0,College diploma or apprenticeship (2+ years),14100,5900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14512/ca
"Contractors and supervisors, carpentry trades","Trades, transport and equipment operators",contractors-and-supervisors-carpentry-trades,72013,54000,27.0,College diploma or apprenticeship (2+ years),31500,12800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14531/ca
"Contractors and supervisors, other construction trades, installers, repairers and servicers","Trades, transport and equipment operators",contractors-and-supervisors-other-construction-trades-installers-repairers-and-servicers,72014,54000,27.0,College diploma or apprenticeship (2+ years),63000,20500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/7062/ca
"Contractors and supervisors, mechanic trades","Trades, transport and equipment operators",contractors-and-supervisors-mechanic-trades,72020,54000,27.0,College diploma or apprenticeship (2+ years),73800,33700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/26437/ca
"Contractors and supervisors, heavy equipment operator crews","Trades, transport and equipment operators",contractors-and-supervisors-heavy-equipment-operator-crews,72021,54000,27.0,College diploma or apprenticeship (2+ years),64000,26100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16593/ca
"Supervisors, printing and related occupations","Trades, transport and equipment operators",supervisors-printing-and-related-occupations,72022,54000,27.0,College diploma or apprenticeship (2+ years),5100,3200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Supervisors%2C%20printing%20and%20related%20occupations
"Supervisors, railway transport operations","Trades, transport and equipment operators",supervisors-railway-transport-operations,72023,54000,27.0,College diploma or apprenticeship (2+ years),1300,400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Supervisors%2C%20railway%20transport%20operations
"Supervisors, motor transport and other ground transit operators","Trades, transport and equipment operators",supervisors-motor-transport-and-other-ground-transit-operators,72024,54000,27.0,College diploma or apprenticeship (2+ years),35500,19300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/7102/ca
"Supervisors, mail and message distribution occupations","Trades, transport and equipment operators",supervisors-mail-and-message-distribution-occupations,72025,54000,27.0,College diploma or apprenticeship (2+ years),11200,5300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/442/ca
Machinists and machining and tooling inspectors,"Trades, transport and equipment operators",machinists-and-machining-and-tooling-inspectors,72100,54000,27.0,College diploma or apprenticeship (2+ years),43400,16200,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/16852/ca
Tool and die makers,"Trades, transport and equipment operators",tool-and-die-makers,72101,54000,27.0,College diploma or apprenticeship (2+ years),11700,4900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/7187/ca
Sheet metal workers,"Trades, transport and equipment operators",sheet-metal-workers,72102,54000,27.0,College diploma or apprenticeship (2+ years),13900,4700,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4786/ca
Boilermakers,"Trades, transport and equipment operators",boilermakers,72103,54000,27.0,College diploma or apprenticeship (2+ years),2800,1100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/4788/ca
Structural metal and platework fabricators and fitters,"Trades, transport and equipment operators",structural-metal-and-platework-fabricators-and-fitters,72104,54000,27.0,College diploma or apprenticeship (2+ years),4300,1100,2,Balance,Balance,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4832/ca
Ironworkers,"Trades, transport and equipment operators",ironworkers,72105,54000,27.0,College diploma or apprenticeship (2+ years),14700,4800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6366/ca
Welders and related machine operators,"Trades, transport and equipment operators",welders-and-related-machine-operators,72106,54000,27.0,College diploma or apprenticeship (2+ years),90900,25600,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/23242/ca
Electricians (except industrial and power system),"Trades, transport and equipment operators",electricians-except-industrial-and-power-system,72200,54000,27.0,College diploma or apprenticeship (2+ years),119300,56300,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/20684/ca
Industrial electricians,"Trades, transport and equipment operators",industrial-electricians,72201,54000,27.0,College diploma or apprenticeship (2+ years),35600,14300,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/16898/ca
Power system electricians,"Trades, transport and equipment operators",power-system-electricians,72202,54000,27.0,College diploma or apprenticeship (2+ years),4600,1400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/7205/ca
Electrical power line and cable workers,"Trades, transport and equipment operators",electrical-power-line-and-cable-workers,72203,54000,27.0,College diploma or apprenticeship (2+ years),12900,3200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/7211/ca
